timestamp,pixelCount
timestamp,pixelCount
2026-07-19 03:00:00,99
2026-07-19 03:01:00,67
2026-07-19 03:02:00,122
2026-07-19 03:03:00,92
2026-07-19 03:04:00,98
2026-07-19 03:05:00,111
2026-07-19 03:06:00,86
2026-07-19 03:07:00,116
2026-07-19 03:08:00,126
2026-07-19 03:09:00,74
2026-07-19 03:10:00,106
2026-07-19 03:11:00,95
2026-07-19 03:12:00,89
2026-07-19 03:13:00,105
2026-07-19 03:14:00,128
2026-07-19 03:15:00,101
2026-07-19 03:16:00,62
2026-07-19 03:17:00,98
2026-07-19 03:18:00,99
2026-07-19 03:19:00,86
2026-07-19 03:20:00,70
2026-07-19 03:21:00,111
2026-07-19 03:22:00,94
2026-07-19 03:23:00,97
2026-07-19 03:24:00,110
2026-07-19 03:25:00,108
2026-07-19 03:26:00,107
2026-07-19 03:27:00,83
2026-07-19 03:28:00,108
2026-07-19 03:29:00,102
2026-07-19 03:30:00,100
2026-07-19 03:31:00,95
2026-07-19 03:32:00,85
2026-07-19 03:33:00,89
2026-07-19 03:34:00,104
2026-07-19 03:35:00,127
2026-07-19 03:36:00,78
2026-07-19 03:37:00,83
2026-07-19 03:38:00,93
2026-07-19 03:39:00,100
2026-07-19 03:40:00,106
2026-07-19 03:41:00,86
2026-07-19 03:42:00,120
2026-07-19 03:43:00,64
2026-07-19 03:44:00,87
2026-07-19 03:45:00,110
2026-07-19 03:46:00,97
2026-07-19 03:47:00,92
2026-07-19 03:48:00,50
2026-07-19 03:49:00,84
2026-07-19 03:50:00,106
2026-07-19 03:51:00,86
2026-07-19 03:52:00,94
2026-07-19 03:53:00,73
2026-07-19 03:54:00,126
2026-07-19 03:55:00,77
2026-07-19 03:56:00,95
2026-07-19 03:57:00,90
2026-07-19 03:58:00,114
2026-07-19 03:59:00,89
2026-07-19 04:00:00,93
2026-07-19 04:01:00,111
2026-07-19 04:02:00,94
2026-07-19 04:03:00,80
2026-07-19 04:04:00,75
2026-07-19 04:05:00,97
2026-07-19 04:06:00,116
2026-07-19 04:07:00,98
